ID;Startzeit;Fertigstellungszeit;E-Mail;Name;Zeitpunkt der letzten Änderung;Wie alt sind Sie?;Mit welchem biologischen Geschlecht identifizieren Sie sich? ;Sind Sie heterosexuell?;Wie ist Ihr Zivilstand? ;Waren Sie schonmal in einer ernsten, romantischen Beziehung?;Wie viele ernste, romantische Beziehungen hatten Sie schon?;Befinden Sie sich zurzeit in einer ernsten, romantischen Beziehung?;Extrovertiert, begeistert;Kritisch, streitsüchtig;Zuverlässig, selbstdiszipliniert;Ängstlich, leicht aus der Fassung zu bringen;Offen für neue Erfahrungen, vielschichtig;Zurückhaltend, still;Verständnissvoll, warmherzig;Unorganisiert, achtlos;Gelassen, emotional stabil;Konventionell, unkreativ;NPI-16-01;NPI-16-02;NPI-16-03;NPI-16-04;NPI-16-05;NPI-16-06;NPI-16-07;NPI-16-08;NPI-16-09;NPI-16-10;NPI-16-11;NPI-16-12;NPI-16-13;NPI-16-14;NPI-16-15;NPI-16-16;…mein Partner mir zuhört.;…offen wir gemeinsam über wichtige Dinge sprechen können. ;…wir uns gegenseitig Verständnis zeigen.;…tief unsere emotionale Verbindung ist. ;…geborgen ich mich in unserer Beziehung fühle. ;…mein Partner mir emotionale Nähe zeigt. ;…wir unsere Meinungsverschiedenheiten lösen. ;…wir während eines Streits miteinander umgehen. ;…schnell Streitigkeiten zwischen uns geschlichtet werden. ;…körperliche Nähe in unserer Beziehung ist. ;…unser Sexualleben ist. ;…wir Nähe durch Berührungen oder kleine Gesten ausdrücken. ;…mein Partner mich unterstützt.;…mein Partner mir in schwierigen Zeiten beisteht. ;…mein Partner an mich glaubt. 
1;6.10.25 19:20:53;6.10.25 19:30:24;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;1;Ja;Trifft grösstenteils zu;Trifft eher zu;Trifft eher nicht zu;Trifft eher zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft eher nicht zu;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Ich habe gerne Autorität über andere.;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich erwarte viel von anderen Menschen.;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich kann viel von anderen Menschen lernen.;etwas unzufrieden;ziemlich zufrieden;ziemliche unzufrieden;extrem zufrieden;etwas unzufrieden;etwas zufrieden;extrem unzufrieden;extrem unzufrieden;etwas unzufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;etwas unzufrieden;etwas unzufrieden;etwas zufrieden
6;6.23.25 19:58:20;6.23.25 20:02:53;anonymous;;;18;Männlich;Ja;Ledig ;Ja;2;Nein;Trifft eher zu;Trifft grösstenteils nicht zu;Trifft eher nicht zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils zu;Trifft eher zu;Trifft grösstenteils zu;Trifft eher zu;Trifft grösstenteils zu;Trifft eher nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;etwas unzufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas unzufrieden;etwas unzufrieden;etwas zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden
7;6.23.25 20:00:43;6.23.25 20:04:57;anonymous;;;19;Weiblich;Ja;Verwitwet;Ja;1;Ja;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft eher zu;Trifft eher zu;Trifft eher nicht zu;Trifft voll und ganz zu;Weder zutreffend noch unzutreffend;Trifft eher zu;Trifft grösstenteils nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich halte mich für eine besondere Person. ;Alle hören gerne meine Geschichten.;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;etwas zufrieden;etwas unzufrieden;etwas unzufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden
8;6.23.25 20:00:54;6.23.25 20:05:24;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;1;Nein;Trifft eher zu;Trifft eher zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft eher zu;Trifft eher zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;etwas unzufrieden;ziemlich zufrieden;etwas unzufrieden;etwas unzufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
9;6.23.25 20:05:54;6.23.25 20:10:13;anonymous;;;19;Weiblich;Ja;Ledig ;Ja;1;Nein;Weder zutreffend noch unzutreffend;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Weder zutreffend noch unzutreffend;Trifft eher nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden
10;6.23.25 20:06:14;6.23.25 20:11:06;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;2;Ja;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft eher zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft eher nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden;extrem unzufrieden
11;6.23.25 20:06:41;6.23.25 20:11:25;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;1;Ja;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Trifft eher zu;Weder zutreffend noch unzutreffend;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft voll und ganz zu;Weder zutreffend noch unzutreffend;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;etwas zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
13;6.23.25 20:19:36;6.23.25 20:26:32;anonymous;;;18;Männlich;Ja;Ledig ;Ja;1;Nein;Trifft eher nicht zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils nicht zu;Trifft eher zu;Trifft eher zu;Trifft eher zu;Weder zutreffend noch unzutreffend;Trifft eher zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich halte mich für eine besondere Person. ;Manchmal erzähle ich gute Geschichten. ;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich erwarte viel von anderen Menschen.;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;etwas zufrieden;ziemlich zufrieden;ziemlich unzufrieden;etwas zufrieden;extrem zufrieden;ziemlich unzufrieden;etwas unzufrieden;etwas unzufrieden;ziemlich unzufrieden;ziemlich unzufrieden;etwas unzufrieden;etwas zufrieden;extrem zufrieden;extrem zufrieden;etwas zufrieden
14;6.23.25 20:24:01;6.23.25 20:29:35;anonymous;;;19;Männlich;Ja;Ledig ;Ja;1;Nein;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft eher zu;Trifft eher zu;Weder zutreffend noch unzutreffend;Weder zutreffend noch unzutreffend;Trifft eher zu;Weder zutreffend noch unzutreffend;Trifft eher zu;Weder zutreffend noch unzutreffend;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;etwas unzufrieden;etwas unzufrieden;etwas zufrieden;etwas zufrieden;etwas zufrieden;etwas zufrieden;etwas unzufrieden;etwas unzufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden
15;6.23.25 20:24:03;6.23.25 20:31:13;anonymous;;;18;Männlich;Ja;Ledig ;Ja;1;Nein;Weder zutreffend noch unzutreffend;Trifft eher nicht zu;Trifft eher zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft eher zu;Trifft grösstenteils zu;Trifft grösstenteils zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Ich habe gerne Autorität über andere.;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;etwas zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;etwas zufrieden;etwas zufrieden;etwas zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden
16;6.23.25 20:33:36;6.23.25 20:38:00;anonymous;;;18;Männlich;Ja;Ledig ;Ja;1;Ja;Trifft eher zu;Trifft eher zu;Trifft voll und ganz zu;Trifft eher nicht zu;Trifft eher zu;Trifft eher nicht zu;Trifft eher zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Trifft eher zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich halte mich für eine besondere Person. ;Alle hören gerne meine Geschichten.;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich erwarte viel von anderen Menschen.;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
17;6.23.25 20:33:00;6.23.25 20:40:03;anonymous;;;24;Männlich;Ja;Ledig ;Ja;1;Ja;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Alle hören gerne meine Geschichten.;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden
18;6.23.25 20:29:56;6.23.25 20:41:04;anonymous;;;19;Männlich;Ja;Ledig ;Ja;3;Ja;Trifft grösstenteils zu;Trifft grösstenteils zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft eher zu;Trifft eher zu;Trifft eher nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich halte mich für eine besondere Person. ;Alle hören gerne meine Geschichten.;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Ich habe gerne Autorität über andere.;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich bin manchmal verlegen, wenn man mich lobt. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich bin fähiger als andere Menschen. ;ziemlich zufrieden;extrem zufrieden;etwas unzufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich unzufrieden;ziemlich unzufrieden;extrem unzufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden
19;6.23.25 20:55:16;6.23.25 21:10:10;anonymous;;;19;Männlich;Ja;Ledig ;Ja;2;Nein;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft eher zu;Trifft überhaupt nicht zu;Trifft eher zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Weder zutreffend noch unzutreffend;Trifft überhaupt nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich halte mich für eine besondere Person. ;Alle hören gerne meine Geschichten.;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Ich habe gerne Autorität über andere.;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich unzufrieden;ziemlich zufrieden;etwas unzufrieden;etwas zufrieden;etwas zufrieden;etwas unzufrieden;etwas unzufrieden;etwas zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas unzufrieden;ziemlich unzufrieden;etwas unzufrieden
