ID;Startzeit;Fertigstellungszeit;E-Mail;Name;Zeitpunkt der letzten Änderung;Wie alt sind Sie?;Mit welchem biologischen Geschlecht identifizieren Sie sich? ;Sind Sie heterosexuell?;Wie ist Ihr Zivilstand? ;Waren Sie schonmal in einer ernsten, romantischen Beziehung?;Wie viele ernste, romantische Beziehungen hatten Sie schon?;Befinden Sie sich zurzeit in einer ernsten, romantischen Beziehung?;Extrovertiert, begeistert;Kritisch, streitsüchtig;Zuverlässig, selbstdiszipliniert;Ängstlich, leicht aus der Fassung zu bringen;Offen für neue Erfahrungen, vielschichtig;Zurückhaltend, still;Verständnissvoll, warmherzig;Unorganisiert, achtlos;Gelassen, emotional stabil;Konventionell, unkreativ;NPI-16-01;NPI-16-02;NPI-16-03;NPI-16-04;NPI-16-05;NPI-16-06;NPI-16-07;NPI-16-08;NPI-16-09;NPI-16-10;NPI-16-11;NPI-16-12;NPI-16-13;NPI-16-14;NPI-16-15;NPI-16-16;…mein Partner mir zuhört.;…offen wir gemeinsam über wichtige Dinge sprechen können. ;…wir uns gegenseitig Verständnis zeigen.;…tief unsere emotionale Verbindung ist. ;…geborgen ich mich in unserer Beziehung fühle. ;…mein Partner mir emotionale Nähe zeigt. ;…wir unsere Meinungsverschiedenheiten lösen. ;…wir während eines Streits miteinander umgehen. ;…schnell Streitigkeiten zwischen uns geschlichtet werden. ;…körperliche Nähe in unserer Beziehung ist. ;…unser Sexualleben ist. ;…wir Nähe durch Berührungen oder kleine Gesten ausdrücken. ;…mein Partner mich unterstützt.;…mein Partner mir in schwierigen Zeiten beisteht. ;…mein Partner an mich glaubt. 
20;6.23.25 21:01:06;6.23.25 21:12:54;anonymous;;;17;Weiblich;Ja;Ledig ;Ja;1;Nein;Trifft grösstenteils zu;Trifft eher zu;Trifft voll und ganz zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft voll und ganz zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Alle hören gerne meine Geschichten.;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;etwas zufrieden;etwas zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden
21;6.23.25 21:19:21;6.23.25 21:24:52;anonymous;;;20;Männlich;Ja;Ledig ;Ja;2;Nein;Trifft eher zu;Trifft grösstenteils nicht zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft eher zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Alle hören gerne meine Geschichten.;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden
22;6.23.25 21:19:02;6.23.25 21:31:36;anonymous;;;17;Weiblich;Ja;Ledig ;Ja;1;Nein;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils nicht zu;Trifft eher nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Ich habe gerne Autorität über andere.;Ich hoffe, dass ich erfolgreich sein werde. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
23;6.23.25 21:23:37;6.23.25 21:32:19;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;1;Ja;Trifft grösstenteils nicht zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft eher zu;Trifft eher zu;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Trifft eher zu;Trifft eher nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich halte mich für eine besondere Person. ;Alle hören gerne meine Geschichten.;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Ich habe gerne Autorität über andere.;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich erwarte viel von anderen Menschen.;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich bin fähiger als andere Menschen. ;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden
24;6.23.25 21:43:09;6.23.25 21:46:02;anonymous;;;19;Männlich;Ja;Ledig ;Ja;2;Ja;Trifft eher zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Trifft eher zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Ich habe gerne Autorität über andere.;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
25;6.23.25 21:39:13;6.23.25 21:46:42;anonymous;;;17;Männlich;Ja;Ledig ;Ja;1;Ja;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Trifft eher zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
26;6.23.25 20:09:38;6.23.25 21:49:04;anonymous;;;26;Männlich;Ja;Ledig ;Ja;2;Ja;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;etwas unzufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
27;6.23.25 21:43:24;6.23.25 21:50:19;anonymous;;;18;Männlich;Ja;Ledig ;Ja;1;Ja;Trifft eher nicht zu;Trifft überhaupt nicht zu;Trifft eher nicht zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft eher zu;Trifft grösstenteils zu;Trifft eher zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Alle hören gerne meine Geschichten.;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Ich habe gerne Autorität über andere.;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
28;6.23.25 22:08:12;6.23.25 22:12:57;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;1;Nein;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft eher zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft überhaupt nicht zu;Trifft eher zu;Trifft eher nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;etwas unzufrieden;etwas unzufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;etwas zufrieden;ziemlich zufrieden;etwas zufrieden;extrem zufrieden;extrem zufrieden;etwas zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
29;6.23.25 23:01:59;6.23.25 23:05:23;anonymous;;;20;Männlich;Ja;Ledig ;Ja;1;Ja;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Weder zutreffend noch unzutreffend;Trifft eher nicht zu;Trifft voll und ganz zu;Trifft überhaupt nicht zu;Trifft eher zu;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Ich habe gerne Autorität über andere.;Ich hoffe, dass ich erfolgreich sein werde. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich bin manchmal verlegen, wenn man mich lobt. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
31;6.24.25 11:59:03;6.24.25 12:03:34;anonymous;;;18;Männlich;Ja;Ledig ;Ja;1;Ja;Trifft eher zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
32;6.25.25 15:19:57;6.25.25 15:27:06;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;2;Ja;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft überhaupt nicht zu;Trifft eher zu;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich unzufrieden;ziemlich unzufrieden;ziemlich unzufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden
33;6.25.25 16:20:57;6.25.25 16:30:52;anonymous;;;19;Männlich;Ja;Ledig ;Ja;1;Ja;Trifft grösstenteils zu;Trifft eher zu;Trifft eher zu;Trifft eher nicht zu;Trifft voll und ganz zu;Trifft eher nicht zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft eher nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich halte mich für eine besondere Person. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Ich habe gerne Autorität über andere.;Ich hoffe, dass ich erfolgreich sein werde. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich erwarte viel von anderen Menschen.;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich bin fähiger als andere Menschen. ;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;etwas unzufrieden;etwas unzufrieden;ziemlich unzufrieden;etwas zufrieden;etwas unzufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden
35;6.25.25 17:40:34;6.25.25 17:44:33;anonymous;;;22;Männlich;Ja;Ledig ;Ja;2;Ja;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft eher zu;Trifft eher zu;Weder zutreffend noch unzutreffend;Trifft eher zu;Trifft voll und ganz zu;Trifft eher nicht zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;etwas zufrieden;etwas zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
38;6.25.25 17:45:03;6.25.25 17:49:13;anonymous;;;26;Männlich;Ja;Ledig ;Ja;2;Ja;Trifft eher nicht zu;Trifft eher nicht zu;Weder zutreffend noch unzutreffend;Weder zutreffend noch unzutreffend;Trifft eher nicht zu;Trifft eher zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich halte mich für eine besondere Person. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich bin fähiger als andere Menschen. ;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden
