ID;Startzeit;Fertigstellungszeit;E-Mail;Name;Zeitpunkt der letzten Änderung;Wie alt sind Sie?;Mit welchem biologischen Geschlecht identifizieren Sie sich? ;Sind Sie heterosexuell?;Wie ist Ihr Zivilstand? ;Waren Sie schonmal in einer ernsten, romantischen Beziehung?;Wie viele ernste, romantische Beziehungen hatten Sie schon?;Befinden Sie sich zurzeit in einer ernsten, romantischen Beziehung?;Extrovertiert, begeistert;Kritisch, streitsüchtig;Zuverlässig, selbstdiszipliniert;Ängstlich, leicht aus der Fassung zu bringen;Offen für neue Erfahrungen, vielschichtig;Zurückhaltend, still;Verständnissvoll, warmherzig;Unorganisiert, achtlos;Gelassen, emotional stabil;Konventionell, unkreativ;NPI-16-01;NPI-16-02;NPI-16-03;NPI-16-04;NPI-16-05;NPI-16-06;NPI-16-07;NPI-16-08;NPI-16-09;NPI-16-10;NPI-16-11;NPI-16-12;NPI-16-13;NPI-16-14;NPI-16-15;NPI-16-16;…mein Partner mir zuhört.;…offen wir gemeinsam über wichtige Dinge sprechen können. ;…wir uns gegenseitig Verständnis zeigen.;…tief unsere emotionale Verbindung ist. ;…geborgen ich mich in unserer Beziehung fühle. ;…mein Partner mir emotionale Nähe zeigt. ;…wir unsere Meinungsverschiedenheiten lösen. ;…wir während eines Streits miteinander umgehen. ;…schnell Streitigkeiten zwischen uns geschlichtet werden. ;…körperliche Nähe in unserer Beziehung ist. ;…unser Sexualleben ist. ;…wir Nähe durch Berührungen oder kleine Gesten ausdrücken. ;…mein Partner mich unterstützt.;…mein Partner mir in schwierigen Zeiten beisteht. ;…mein Partner an mich glaubt. 
41;6.25.25 17:52:51;6.25.25 17:57:33;anonymous;;;21;Männlich;Ja;Ledig ;Ja;1;Nein;Trifft eher nicht zu;Trifft grösstenteils nicht zu;Weder zutreffend noch unzutreffend;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft eher zu;Trifft eher zu;Trifft eher zu;Weder zutreffend noch unzutreffend;Weder zutreffend noch unzutreffend;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Ich habe gerne Autorität über andere.;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
43;6.25.25 18:16:48;6.25.25 18:20:59;anonymous;;;21;Männlich;Ja;Ledig ;Ja;1;Ja;Trifft eher nicht zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft eher zu;Trifft voll und ganz zu;Trifft eher zu;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Trifft eher zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
44;6.25.25 18:22:05;6.25.25 18:27:06;anonymous;;;23;Männlich;Ja;Ledig ;Ja;2;Ja;Trifft eher nicht zu;Trifft eher zu;Weder zutreffend noch unzutreffend;Trifft eher nicht zu;Trifft voll und ganz zu;Trifft eher zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft eher zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;etwas zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
46;6.25.25 18:57:50;6.25.25 19:03:26;anonymous;;;21;Männlich;Ja;Ledig ;Ja;1;Ja;Weder zutreffend noch unzutreffend;Weder zutreffend noch unzutreffend;Trifft eher zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Trifft eher zu;Trifft eher zu;Trifft eher nicht zu;Trifft eher zu;Trifft eher nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden
48;6.25.25 19:34:53;6.25.25 19:39:13;anonymous;;;25;Männlich;Ja;Ledig ;Ja;3;Ja;Trifft eher nicht zu;Trifft eher nicht zu;Trifft eher zu;Trifft voll und ganz zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;etwas zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
49;6.25.25 19:47:39;6.25.25 19:51:51;anonymous;;;24;Männlich;Ja;Ledig ;Ja;1;Ja;Trifft grösstenteils nicht zu;Trifft grösstenteils nicht zu;Trifft eher zu;Trifft eher nicht zu;Weder zutreffend noch unzutreffend;Trifft eher zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;etwas zufrieden;etwas zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden
52;6.26.25 8:44:19;6.26.25 8:47:43;anonymous;;;26;Männlich;Ja;Verwitwet;Ja;1;Ja;Weder zutreffend noch unzutreffend;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft überhaupt nicht zu;Trifft voll und ganz zu;Trifft voll und ganz zu;Trifft voll und ganz zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich halte mich für eine besondere Person. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich erwarte viel von anderen Menschen.;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
53;6.26.25 10:22:36;6.26.25 10:34:36;anonymous;;;24;Weiblich;Ja;Ledig ;Ja;1;Nein;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft eher zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Weder zutreffend noch unzutreffend;Trifft überhaupt nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin eine aussergewöhnliche Person. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;etwas zufrieden;ziemlich zufrieden;ziemlich unzufrieden;ziemlich zufrieden;etwas unzufrieden;ziemlich zufrieden;ziemlich zufrieden;etwas zufrieden;etwas zufrieden;etwas zufrieden;etwas zufrieden;ziemlich unzufrieden;ziemlich zufrieden;etwas unzufrieden;ziemlich zufrieden
60;6.28.25 11:43:04;6.28.25 11:48:14;anonymous;;;24;Männlich;Ja;Ledig ;Ja;2;Nein;Trifft eher nicht zu;Trifft überhaupt nicht zu;Trifft eher zu;Trifft überhaupt nicht zu;Trifft voll und ganz zu;Trifft eher zu;Trifft grösstenteils nicht zu;Trifft eher zu;Trifft voll und ganz zu;Weder zutreffend noch unzutreffend;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich halte mich für eine besondere Person. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Ich habe gerne Autorität über andere.;Ich hoffe, dass ich erfolgreich sein werde. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich erwarte viel von anderen Menschen.;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich bin fähiger als andere Menschen. ;etwas zufrieden;etwas unzufrieden;ziemlich unzufrieden;etwas zufrieden;etwas unzufrieden;ziemlich zufrieden;etwas unzufrieden;ziemlich unzufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;etwas zufrieden;etwas unzufrieden;etwas zufrieden;ziemlich zufrieden
61;7.16.25 18:48:02;7.16.25 18:51:27;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;2;Ja;Trifft eher zu;Trifft grösstenteils nicht zu;Trifft eher zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
62;7.22.25 23:41:11;7.22.25 23:45:26;anonymous;;;21;Weiblich;Ja;Ledig ;Ja;1;Nein;Trifft grösstenteils zu;Trifft eher zu;Trifft voll und ganz zu;Weder zutreffend noch unzutreffend;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft voll und ganz zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich halte mich für eine besondere Person. ;Manchmal erzähle ich gute Geschichten. ;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Ich habe gerne Autorität über andere.;Ich hoffe, dass ich erfolgreich sein werde. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich erwarte viel von anderen Menschen.;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;etwas zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
63;7.22.25 23:47:08;7.22.25 23:52:41;anonymous;;;17;Weiblich;Ja;Ledig ;Ja;2;Ja;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft voll und ganz zu;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin wie die meisten anderen Menschen. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
64;7.22.25 23:52:28;7.22.25 23:56:16;anonymous;;;22;Weiblich;Ja;Ledig ;Ja;2;Ja;Trifft grösstenteils nicht zu;Trifft überhaupt nicht zu;Trifft grösstenteils zu;Trifft eher zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils zu;Trifft grösstenteils zu;Trifft überhaupt nicht zu;Weder zutreffend noch unzutreffend;Weder zutreffend noch unzutreffend;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden
67;7.23.25 10:43:06;7.23.25 10:48:52;anonymous;;;19;Weiblich;Ja;Ledig ;Ja;1;Ja;Trifft eher nicht zu;Trifft überhaupt nicht zu;Trifft voll und ganz zu;Trifft grösstenteils zu;Trifft eher zu;Trifft eher zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft eher zu;Trifft eher nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
69;7.23.25 18:47:39;7.23.25 18:52:01;anonymous;;;19;Weiblich;Ja;Ledig ;Ja;1;Nein;Trifft grösstenteils nicht zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Trifft eher zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft eher nicht zu;Trifft voll und ganz zu;Weder zutreffend noch unzutreffend;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bekomme in der Regel den Respekt, den ich verdiene. ;Ich habe gerne Autorität über andere.;Ich hoffe, dass ich erfolgreich sein werde. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Andere erkennen meine Autorität scheinbar immer an. ;Ich bin manchmal verlegen, wenn man mich lobt. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;ziemlich zufrieden;extrem zufrieden;etwas zufrieden;etwas zufrieden;etwas zufrieden;etwas unzufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden;extrem zufrieden
70;7.23.25 21:42:05;7.23.25 21:52:56;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;1;Nein;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft eher nicht zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Es ist mir unangenehm, im Mittelpunkt der Aufmerksamkeit zu stehen. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Alle hören gerne meine Geschichten.;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich hoffe, dass ich erfolgreich sein werde. ;Ich kann jeden dazu bringen, zu glauben, was ich will. ;Ich tue gerne etwas für andere Menschen. ;Ich bin gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin eine aussergewöhnliche Person. ;Ich weiss immer, was ich tue. ;Es fällt mir leicht, Menschen zu manipulieren. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Wenn ich die Gelegenheit habe, gebe ich auch mal an. ;Ich kann viel von anderen Menschen lernen.;etwas zufrieden;ziemlich zufrieden;ziemlich unzufrieden;ziemlich zufrieden;etwas zufrieden;ziemlich zufrieden;ziemlich unzufrieden;extrem unzufrieden;ziemlich unzufrieden;extrem zufrieden;extrem zufrieden;ziemlich zufrieden;ziemlich zufrieden;ziemlich zufrieden;extrem zufrieden
71;7.23.25 23:26:36;7.23.25 23:32:49;anonymous;;;18;Weiblich;Ja;Ledig ;Ja;1;Nein;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft grösstenteils zu;Weder zutreffend noch unzutreffend;Trifft voll und ganz zu;Trifft eher nicht zu;Trifft grösstenteils zu;Trifft grösstenteils nicht zu;Trifft eher nicht zu;Trifft grösstenteils nicht zu;Ich bin sehr gerne im Mittelpunkt der Aufmerksamkeit. ;Ich bin weder besser noch schlechter als die meisten anderen Menschen. ;Manchmal erzähle ich gute Geschichten. ;Ich bestehe darauf, den Respekt zu bekommen, der mir zusteht. ;Es macht mir nichts aus, Anweisungen zu befolgen. ;Ich werde einmal eine grossartige Person sein. ;Manchmal glauben mir die Leute, was ich sage. ;Ich tue gerne etwas für andere Menschen. ;Ich halte mich lieber im Hintergrund. ;Ich bin wie die meisten anderen Menschen. ;Manchmal bin ich mir nicht sicher, was ich tue. ;Es gefällt mir nicht, wenn ich merke, dass ich Menschen manipuliere. ;Autorität zu haben bedeutet mir nicht viel.;Ich weiss, dass ich gut bin, weil mir das ständig gesagt wird. ;Ich versuche, nicht anzugeben. ;Ich kann viel von anderen Menschen lernen.;;;;;;;;;;;;;;;